COMPANY & TICKER,,REC DATE,TEAM,RISK,MARKET CAP,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,Stitch Fix,9/6/18,Tom,,$2B,$45.19 ,-46.50%,11.60%,-58.10%,Add SFIX to your Favorites
,SFIX,,,,,,,,,
,Alaska Air Group,8/16/18,David,13,$4B,$61.97 ,-41.40%,13.20%,-54.60%,Add ALK to your Favorites
,ALK,,,,,,,,,
,Arista Networks,8/2/18,Tom,,$17B,$271.85 ,-19.80%,13.90%,-33.70%,Add ANET to your Favorites
,ANET Now,,,,,,,,,
,BlackBerry,7/19/18,David,13,$4B,$10.33 ,-51.00%,14.80%,-65.80%,Add BB to your Favorites
,BB,,,,,,,,,
,Stitch Fix,7/5/18,Tom,,$2B,$28.83 ,-16.20%,17.80%,-33.90%,Add SFIX to your Favorites
,SFIX,,,,,,,,,
,Amgen,6/21/18,David,9,$140B,$175.59 ,35.90%,17.20%,18.70%,Add AMGN to your Favorites
,AMGN,,,,,,,,,
,Wix.com,6/7/18,Tom,,$12B,$92.90 ,155.00%,16.50%,138.50%,WIX is in your Favorites
,WIX,,,,,,,,,
,New Relic,5/17/18,David,12,$4B,$90.13 ,-22.60%,18.70%,-41.30%,Add NEWR to your Favorites
,NEWR,,,,,,,,,
,Shopify,5/3/18,Tom,,$105B,$135.17 ,551.80%,23.00%,528.80%,SHOP is in your Favorites
,SHOP Starter,,,,,,,,,
,Shopify,4/20/18,Tom,,$105B,$126.79 ,594.80%,21.20%,573.70%,SHOP is in your Favorites
,SHOP Starter,,,,,,,,,
,Okta,4/20/18,David,9,$25B,$41.97 ,372.20%,21.20%,351.00%,Add OKTA to your Favorites
,OKTA Now,,,,,,,,,
,Markel,3/15/18,Tom,,$13B,"$1,139.36 ",-18.30%,17.90%,-36.20%,Add MKL to your Favorites
,MKL,,,,,,,,,
,Cirrus Logic,3/15/18,David,12,$4B,$43.06 ,45.20%,17.90%,27.30%,Add CRUS to your Favorites
,CRUS,,,,,,,,,
,Varonis Systems,2/16/18,Tom,,$3B,$56.30 ,55.40%,18.80%,36.60%,Add VRNS to your Favorites
,VRNS,,,,,,,,,
,Fair Isaac,2/16/18,David,10,$12B,$166.48 ,153.40%,18.80%,134.60%,Add FICO to your Favorites
,FICO,,,,,,,,,
,Paycom Software,1/19/18,Tom,,$18B,$91.19 ,248.90%,15.70%,233.20%,Add PAYC to your Favorites
,PAYC,,,,,,,,,
,Okta,1/19/18,David,9,$25B,$29.18 ,579.20%,15.70%,563.50%,Add OKTA to your Favorites
,OKTA Now,,,,,,,,,
,Appian,12/15/17,Tom,,$4B,$20.86 ,148.20%,21.70%,126.50%,Add APPN to your Favorites
,APPN Starter,,,,,,,,,
,Vail Resorts,12/15/17,David,9,$7B,$204.29 ,-10.80%,21.70%,-32.40%,Add MTN to your Favorites
,MTN,,,,,,,,,
,Talend,11/17/17,Tom,,$1B,$41.83 ,-16.30%,26.40%,-42.70%,Add TLND to your Favorites
,TLND,,,,,,,,,
