,TICKER,REC DATE,RISK,ADJ REC PRICE,RETURN,S&P RETURN
163,TSLA,11/23/11,17.0,31.45,29.552,2.14
164,ZG Z,9/28/11,14.0,,5.4,2.181
165,EBS,4/27/11,15.0,22.28,2.283,1.726
166,NXPI,3/23/11,14.0,26.39,3.284,1.8519999999999999
167,LULU,12/22/10,8.0,35.85,7.235,1.953
168,JOBS,7/28/10,9.0,12.09,4.692,2.391
169,OLED,6/23/10,10.0,17.54,7.428,2.439
170,EDU,4/28/10,10.0,22.13,4.968999999999999,2.164
171,LPSN,2/24/10,12.0,6.73,4.68,2.42
172,EXAS,2/24/10,15.0,22.49,2.795,2.42
173,AMT,12/23/09,14.0,36.74,5.917999999999999,2.385
174,FDS,8/19/09,9.0,48.43,5.1370000000000005,2.833
175,GOOG GOOGL,7/15/09,5.0,,5.55,3.105
176,CPRT,4/15/09,8.0,7.54,9.777000000000001,3.52
177,CHKP,4/15/09,9.0,24.17,3.345,3.52
178,OTEX,3/18/09,14.0,7.25,4.845,3.8560000000000003
179,MELI,2/18/09,10.0,14.13,66.509,3.907
180,MNST,1/21/09,7.0,5.56,11.254000000000001,3.616
181,CRM,1/21/09,8.0,6.89,25.921,3.616
182,ISRG,11/19/08,7.0,40.36,12.749,3.833
183,SOHU,11/19/08,13.0,8.71,-0.758,3.833
184,BIDU,8/20/08,7.0,32.12,2.778,2.079
185,AVAV,8/20/08,11.0,32.95,1.179,2.079
186,VMW,5/21/08,11.0,54.32,1.8119999999999998,1.837
187,GOOGL GOOG,5/21/08,5.0,,4.218,1.837
188,IPGP,3/19/08,8.0,13.88,10.328,2.048
189,TTWO,12/19/07,7.0,18.75,6.46,1.74
190,INFN,11/21/07,15.0,19.99,-0.7120000000000001,1.814
191,TTWO,9/19/07,7.0,16.93,7.2620000000000005,1.6159999999999999
192,UAA UA,9/19/07,14.0,,0.111,1.6159999999999999
193,VRTX,7/18/07,7.0,29.15,8.988999999999999,1.5959999999999999
