COMPANY & TICKER,,REC DATE,RISK,MARKET CAP,CURRENT PRICE,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,LivePerson,2/24/10,12,$3B,$40.78 ,$6.73 ,468.00%,242.00%,226.10%,Add LPSN to your Favorites
,LPSN,,,,,,,,,
,Exact Sciences Corporate Action Details,2/24/10,15,$12B,$83.88 ,$22.49 ,279.50%,242.00%,37.60%,Add EXAS to your Favorites
,EXAS,,,,,,,,,
,American Tower,12/23/09,14,$113B,$254.36 ,$36.74 ,591.80%,238.50%,353.30%,Add AMT to your Favorites
,AMT,,,,,,,,,
,FactSet Research Systems,8/19/09,9,$11B,$342.16 ,$48.43 ,513.70%,283.30%,230.40%,Add FDS to your Favorites
,FDS,,,,,,,,,
,Alphabet (C shares) and Alphabet (A shares) Corporate Action Details,7/15/09,5,N/A Corporate Action Details,N/A Corporate Action Details,N/A Corporate Action Details,555.00%,310.50%,244.50%,N/A Corporate Action Details
,GOOG GOOGL Starter,,,,,,,,,
,Copart,4/15/09,8,$19B,$81.50 ,$7.54 ,977.70%,352.00%,625.70%,Add CPRT to your Favorites
,CPRT,,,,,,,,,
,Check Point Software Technologies,4/15/09,9,$15B,$106.39 ,$24.17 ,334.50%,352.00%,-17.40%,Add CHKP to your Favorites
,CHKP,,,,,,,,,
,Open Text,3/18/09,14,$11B,$43.24 ,$7.25 ,484.50%,385.60%,98.90%,Add OTEX to your Favorites
,OTEX,,,,,,,,,
,MercadoLibre,2/18/09,10,$47B,$971.44 ,$14.13 ,6650.90%,390.70%,6260.30%,Add MELI to your Favorites
,MELI Starter,,,,,,,,,
,Monster Beverage,1/21/09,7,$36B,$69.06 ,$5.56 ,1125.40%,361.60%,763.70%,Add MNST to your Favorites
,MNST,,,,,,,,,
,Salesforce.com,1/21/09,8,$167B,$188.34 ,$6.89 ,2592.10%,361.60%,2230.40%,CRM is in your Favorites
,CRM Starter,,,,,,,,,
,Intuitive Surgical,11/19/08,7,$65B,$555.11 ,$40.36 ,1274.90%,383.30%,891.60%,Add ISRG to your Favorites
,ISRG Now,,,,,,,,,
,Sohu.com Corporate Action Details,11/19/08,13,$354M,$9.38 ,$8.71 ,-75.80%,383.30%,-459.10%,Add SOHU to your Favorites
,SOHU,,,,,,,,,
,Baidu,8/20/08,7,$42B,$123.73 ,$32.12 ,277.80%,207.90%,70.00%,Add BIDU to your Favorites
,BIDU,,,,,,,,,
,AeroVironment,8/20/08,11,$2B,$78.84 ,$32.95 ,117.90%,207.90%,-90.00%,Add AVAV to your Favorites
,AVAV,,,,,,,,,
,VMware,5/21/08,11,$64B,$149.45 ,$54.32 ,181.20%,183.70%,-2.60%,Add VMW to your Favorites
,VMW,,,,,,,,,
,Alphabet (A shares) and Alphabet (C shares) Corporate Action Details,5/21/08,5,N/A Corporate Action Details,N/A Corporate Action Details,N/A Corporate Action Details,421.80%,183.70%,238.10%,N/A Corporate Action Details
,GOOGL GOOG Starter,,,,,,,,,
,IPG Photonics,3/19/08,8,$8B,$157.58 ,$13.88 ,1032.80%,204.80%,828.00%,Add IPGP to your Favorites
,IPGP,,,,,,,,,
,Take-Two Interactive,12/19/07,7,$15B,$140.40 ,$18.75 ,646.00%,174.00%,472.00%,Add TTWO to your Favorites
,TTWO,,,,,,,,,
,Infinera,11/21/07,15,$1B,$5.88 ,$19.99 ,-71.20%,181.40%,-252.60%,Add INFN to your Favorites
,INFN,,,,,,,,,
,Take-Two Interactive,9/19/07,7,$15B,$140.40 ,$16.93 ,726.20%,161.60%,564.60%,Add TTWO to your Favorites
,TTWO,,,,,,,,,
,Under Armour (A Shares) and Under Armour (C Shares) Corporate Action Details,9/19/07,14,N/A Corporate Action Details,N/A Corporate Action Details,N/A Corporate Action Details,11.10%,161.60%,-150.60%,N/A Corporate Action Details
,UAA UA,,,,,,,,,
,Vertex Pharmaceuticals,7/18/07,7,$75B,$295.15 ,$29.15 ,898.90%,159.60%,739.30%,Add VRTX to your Favorites
,VRTX,,,,,,,,,
,BioMarin Pharmaceutical,5/16/07,13,$22B,$124.22 ,$18.16 ,564.30%,165.80%,398.40%,Add BMRN to your Favorites
,BMRN,,,,,,,,,
,IPG Photonics,4/18/07,8,$8B,$157.58 ,$20.52 ,666.10%,173.80%,492.30%,Add IPGP to your Favorites
,IPGP,,,,,,,,,
,Exelixis,3/21/07,9,$7B,$23.79 ,$10.00 ,134.50%,181.20%,-46.70%,Add EXEL to your Favorites
,EXEL,,,,,,,,,
,Chipotle Mexican Grill,1/17/07,11,$29B,"$1,048.90 ",$60.60 ,1629.30%,183.10%,1446.20%,CMG is in your Favorites
,CMG,,,,,,,,,
,Blackbaud,11/15/06,15,$3B,$57.66 ,$22.99 ,148.80%,190.90%,-42.20%,Add BLKB to your Favorites
,BLKB,,,,,,,,,
,Baidu,10/18/06,7,$42B,$123.73 ,$8.34 ,1355.80%,198.00%,1157.80%,Add BIDU to your Favorites
,BIDU,,,,,,,,,
,Momenta Pharmaceuticals,8/16/06,16,$4B,$38.61 ,$15.41 ,144.90%,215.10%,-70.20%,Add MNTA to your Favorites
,MNTA,,,,,,,,,
,Under Armour (C Shares) and Under Armour (A Shares) Corporate Action Details,7/19/06,14,N/A Corporate Action Details,N/A Corporate Action Details,N/A Corporate Action Details,76.10%,224.60%,-148.50%,N/A Corporate Action Details
,UA UAA,,,,,,,,,
,Intuitive Surgical,2/15/06,7,$65B,$555.11 ,$34.06 ,1529.50%,221.90%,1307.60%,Add ISRG to your Favorites
,ISRG Now,,,,,,,,,
,iRobot,12/21/05,13,$2B,$82.15 ,$31.41 ,154.10%,227.30%,-73.20%,Add IRBT to your Favorites
,IRBT,,,,,,,,,
,Exelixis,10/19/05,9,$7B,$23.79 ,$7.34 ,219.50%,246.90%,-27.40%,Add EXEL to your Favorites
,EXEL,,,,,,,,,
,Intuitive Surgical,9/21/05,7,$65B,$555.11 ,$23.23 ,2289.30%,243.20%,2046.10%,Add ISRG to your Favorites
,ISRG Now,,,,,,,,,
,Universal Display,5/18/05,10,$7B,$151.33 ,$8.97 ,1547.30%,252.40%,1294.90%,Add OLED to your Favorites
,OLED,,,,,,,,,
,Intuitive Surgical,3/16/05,7,$65B,$555.11 ,$14.72 ,3669.30%,252.70%,3416.60%,Add ISRG to your Favorites
,ISRG Now,,,,,,,,,
,Intercontinental Exchange Corporate Action Details,1/19/05,11,$50B,$92.83 ,$28.83 ,693.40%,254.90%,438.50%,Add ICE to your Favorites
,ICE,,,,,,,,,
,Vertex Pharmaceuticals,1/19/05,7,$75B,$295.15 ,$10.48 ,2678.40%,254.90%,2423.50%,Add VRTX to your Favorites
,VRTX,,,,,,,,,
,NetEase,12/15/04,6,$60B,$436.06 ,$11.30 ,3772.30%,249.20%,3523.10%,Add NTES to your Favorites
,NTES,,,,,,,,,
