COMPANY & TICKER,,REC DATE,RISK,MARKET CAP,CURRENT PRICE,ADJ REC PRICE,RETURN,S&P RETURN,VS. S&P RETURN,FAVORITES
,Guardant Health,2/14/19,15,$8B,$82.81 ,$48.87 ,66.30%,14.20%,52.20%,Add GH to your Favorites
,GH,,,,,,,,,
,NextEra Energy,1/24/19,14,$118B,$239.16 ,$174.15 ,38.80%,18.80%,20.00%,Add NEE to your Favorites
,NEE Starter,,,,,,,,,
,Skechers,1/10/19,11,$5B,$30.14 ,$24.90 ,22.10%,20.90%,1.20%,Add SKX to your Favorites
,SKX,,,,,,,,,
,Bilibili,12/20/18,13,$15B,$44.57 ,$14.63 ,201.00%,27.40%,173.50%,Add BILI to your Favorites
,BILI,,,,,,,,,
,Zendesk,12/6/18,10,$9B,$84.76 ,$59.88 ,36.50%,16.70%,19.80%,Add ZEN to your Favorites
,ZEN,,,,,,,,,
,Guardant Health,11/21/18,15,$8B,$82.81 ,$37.16 ,118.70%,18.80%,99.80%,Add GH to your Favorites
,GH,,,,,,,,,
,Upwork,11/8/18,10,$1B,$14.21 ,$18.07 ,-28.50%,12.30%,-40.80%,Add UPWK to your Favorites
,UPWK,,,,,,,,,
,Upwork,10/25/18,10,$1B,$14.21 ,$19.50 ,-33.70%,16.60%,-50.40%,Add UPWK to your Favorites
,UPWK,,,,,,,,,
,Electronic Arts,10/11/18,8,$38B,$130.74 ,$103.60 ,26.30%,15.70%,10.60%,Add EA to your Favorites
,EA Starter,,,,,,,,,
,GoDaddy,9/27/18,9,$13B,$74.79 ,$83.20 ,-9.20%,8.40%,-17.60%,Add GDDY to your Favorites
,GDDY,,,,,,,,,
,Twilio,9/13/18,14,$30B,$216.52 ,$85.31 ,148.70%,8.80%,139.90%,TWLO is in your Favorites
,TWLO,,,,,,,,,
,Stitch Fix,8/23/18,11,$2B,$23.22 ,$36.57 ,-36.20%,10.80%,-47.00%,Add SFIX to your Favorites
,SFIX,,,,,,,,,
,Yandex,8/9/18,12,$16B,$50.55 ,$31.82 ,58.10%,11.00%,47.00%,Add YNDX to your Favorites
,YNDX,,,,,,,,,
